,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,0.0,0.0,0.0,0.0,0.0,0.0005289999999999958,2.4999999999998934e-05,0.00010000000000000018,4.9000000000000087e-05,4.9000000000000087e-05,3.999999999999563e-06,3.999999999999563e-06,3.999999999999563e-06,0.0,0.0,0.0,1.0000000000000019e-06,0.0,0.0,2.5000000000000045e-05,9.999999999997797e-07,1.0000000000000019e-06,0.00012100000000000022,4.900000000000164e-05,1.600000000000003e-05,2.5000000000000045e-05,2.5000000000000045e-05,2.5000000000000045e-05,2.5000000000000045e-05,4.0000000000000074e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0000000000002238e-06,1.0000000000002238e-06,1.0000000000002238e-06,2.5000000000000045e-05,2.5000000000000045e-05,9.999999999997797e-07,0.0004839999999999911,0.0004839999999999911,0.0004839999999999911,0.00036100000000000064,3.600000000000006e-05,8.100000000000014e-05,1.600000000000003e-05,1.600000000000003e-05,0.0,1.600000000000003e-05,0.0,2.4999999999998934e-05,9.000000000000015e-06,9.000000000000015e-06,1.0000000000000019e-06,1.0000000000000019e-06,0.0,3.999999999999563e-06,3.999999999999563e-06,1.0000000000000019e-06,9.999999999997797e-07,1.0000000000000019e-06,1.0000000000002238e-06,1.0000000000002238e-06,0.0,0.0,9.999999999997797e-07,9.999999999997797e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,0.0002890000000000043,0.0002890000000000043,3.600000000000006e-05,0.0,0.0008409999999999951,0.0008409999999999951,0.0007289999999999953,0.00010000000000000018,6.400000000000012e-05,0.0001690000000000003,2.4999999999998934e-05,2.4999999999998934e-05,8.099999999999815e-05,4.8999999999998535e-05,0.0,9.999999999997797e-07,0.0,4.0000000000000074e-06,4.0000000000000074e-06,1.600000000000003e-05,1.600000000000003e-05,1.600000000000003e-05,2.5000000000000045e-05,0.0,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,1.0000000000002238e-06,1.0000000000002238e-06,0.0,4.0000000000000074e-06,4.0000000000000074e-06,1.0000000000000019e-06,1.0000000000000019e-06,0.0,0.0,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000002238e-06,1.0000000000000019e-06,1.0000000000000019e-06,4.0000000000000074e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06
3,0.0,0.0,0.0,0.00032400000000000056,4.9000000000000087e-05,4.9000000000000087e-05,4.9000000000000087e-05,4.9000000000000087e-05,4.0000000000000074e-06,4.0000000000000074e-06,2.5000000000000045e-05,4.9000000000000087e-05,9.000000000000015e-06,9.000000000000015e-06,9.000000000000015e-06,9.000000000000015e-06,9.000000000000015e-06,1.600000000000003e-05,9.000000000000683e-06,1.0000000000002238e-06,9.999999999997797e-07,4.000000000000895e-06,4.000000000000895e-06,9.999999999997797e-07,1.0000000000002238e-06,8.99999999999935e-06,8.99999999999935e-06,1.0000000000002238e-06,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,2.5000000000000045e-05,0.00014400000000000025,0.0009610000000000086,0.0012960000000000022,0.0003239999999999966,0.0003239999999999966,0.0009000000000000016,0.0008409999999999951,0.00012100000000000022,0.00012100000000000022,0.00019600000000000035,0.00010000000000000018,0.00010000000000000018,0.00010000000000000018,1.600000000000003e-05,6.400000000000012e-05,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,0.0,9.999999999997797e-07,2.4999999999998934e-05,2.4999999999998934e-05,9.999999999997797e-07,9.999999999997797e-07,9.000000000000015e-06,0.0,0.0,1.0000000000000019e-06,4.0000000000000074e-06,9.999999999997797e-07,0.0,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0000000000000019e-06,0.0002560000000000005,0.0002560000000000005,0.000899999999999995,0.000899999999999995,0.000899999999999995,0.00022499999999999707,0.0007290000000000073,0.00019600000000000035,0.00019600000000000035,4.900000000000164e-05,9.000000000000015e-06,9.000000000000015e-06,9.000000000000015e-06,6.400000000000012e-05,4.900000000000164e-05,0.00010000000000000018,0.00010000000000000018,6.400000000000012e-05,0.0001689999999999974,0.0001689999999999974,0.00012099999999999778,8.99999999999935e-06,0.00032400000000000056,0.0001690000000000003,3.600000000000006e-05,3.600000000000006e-05,9.999999999997797e-07,9.999999999997797e-07,4.0000000000000074e-06,1.600000000000003e-05,1.600000000000003e-05,9.000000000000015e-06,1.600000000000003e-05,1.600000000000003e-05,1.0000000000002238e-06,9.000000000000015e-06,0.0,1.600000000000003e-05,2.5000000000000045e-05,0.0,4.0000000000000074e-06,1.0000000000002238e-06,0.0,2.5000000000000045e-05,2.5000000000000045e-05,9.000000000000683e-06,1.0000000000000019e-06,1.600000000000003e-05,9.999999999997797e-07,4.0000000000000074e-06
6,0.0,0.0,0.0,0.0,0.0,0.00012100000000000266,0.00012100000000000266,0.00012100000000000266,2.5000000000001153e-05,6.399999999999834e-05,6.399999999999834e-05,0.0,4.0000000000000074e-06,3.600000000000006e-05,1.599999999999914e-05,4.8999999999998535e-05,1.599999999999914e-05,1.600000000000003e-05,1.600000000000003e-05,9.000000000000015e-06,9.000000000000015e-06,3.999999999999563e-06,3.999999999999563e-06,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000019e-06,0.0,0.0,9.999999999997797e-07,1.0000000000000019e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0000000000000019e-06,1.0000000000000019e-06,0.0006759999999999897,0.0007840000000000014,6.400000000000012e-05,6.400000000000012e-05,0.001600000000000003,1.600000000000003e-05,8.100000000000014e-05,8.100000000000014e-05,0.00012100000000000022,0.00012100000000000022,0.0,6.400000000000012e-05,0.00010000000000000018,8.100000000000215e-05,8.100000000000215e-05,4.900000000000164e-05,3.600000000000006e-05,1.600000000000003e-05,1.600000000000003e-05,9.000000000000015e-06,0.00012100000000000022,0.0001689999999999974,9.999999999997797e-07,0.0001690000000000003,0.0001690000000000003,9.999999999999574e-05,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,9.999999999997797e-07,9.999999999997797e-07,6.400000000000012e-05,2.5000000000000045e-05,1.600000000000003e-05,0.0,0.0,2.4999999999998934e-05,2.4999999999998934e-05,4.0000000000000074e-06,4.0000000000000074e-06,3.600000000000006e-05,8.99999999999935e-06,4.0000000000000074e-06,1.232595164407831e-32,9.000000000000683e-06,9.999999999997797e-07,0.00016900000000000319,6.400000000000012e-05
8,0.0,0.0,0.0,0.0,0.0014440000000000026,3.60000000000014e-05,3.60000000000014e-05,6.399999999999655e-05,6.399999999999655e-05,6.399999999999655e-05,6.399999999999655e-05,2.5000000000000045e-05,9.999999999997797e-07,4.000000000000451e-06,4.000000000000451e-06,2.5000000000000045e-05,1.0000000000002238e-06,4.0000000000000074e-06,9.000000000000015e-06,1.0000000000000019e-06,1.0000000000002238e-06,1.0000000000002238e-06,1.0000000000002238e-06,1.0000000000000019e-06,1.0000000000000019e-06,0.0,0.0,0.0,0.0,0.0,1.0000000000002238e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06
9,0.0,0.0,0.002025000000000004,0.003024999999999993,0.00039999999999999183,0.00039999999999999183,0.0003609999999999964,0.0003609999999999964,3.999999999999563e-06,0.00019599999999999723,0.00010000000000000018,0.00022499999999999707,3.600000000000006e-05,4.0000000000000074e-06,9.000000000000683e-06,4.0000000000000074e-06,1.0000000000002238e-06,1.0000000000002238e-06,0.00012100000000000022,1.600000000000003e-05,1.0000000000000019e-06,9.999999999999574e-05,1.0000000000000019e-06,4.000000000000451e-06,4.000000000000451e-06,2.4999999999998934e-05,0.0,0.0,1.0000000000002238e-06,1.0000000000002238e-06,1.0000000000000019e-06,1.232595164407831e-32,1.232595164407831e-32,3.999999999999119e-06,8.99999999999935e-06,8.99999999999935e-06,8.99999999999935e-06,2.4999999999998934e-05,1.232595164407831e-32,1.232595164407831e-32,4.0000000000000074e-06,0.0,1.600000000000003e-05,1.600000000000003e-05,2.5000000000000045e-05,1.600000000000003e-05,3.600000000000006e-05,9.000000000000683e-06,9.000000000000683e-06,9.000000000000683e-06,0.0
10,1.0000000000002238e-06,1.0000000000002238e-06,1.0000000000002238e-06,1.0000000000002238e-06,1.0000000000002238e-06,0.0,0.0,3.600000000000006e-05,0.0006249999999999956,0.0005289999999999958,0.000576000000000001,0.0005290000000000009,0.0005760000000000063,0.0005760000000000063,0.0005760000000000063,0.0005760000000000063,0.00010000000000000018,0.00048400000000000087,3.600000000000006e-05,3.600000000000006e-05,3.600000000000006e-05,2.5000000000001153e-05,1.600000000000003e-05,1.600000000000003e-05,4.0000000000000074e-06,4.0000000000000074e-06,0.0,1.600000000000003e-05,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,0.0,0.0,1.0000000000002238e-06,0.0,9.999999999997797e-07,9.999999999997797e-07,1.0000000000002238e-06,0.0,0.0,9.999999999997797e-07,9.999999999997797e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1.0000000000002238e-06,0.003024999999999993,0.0010889999999999947,0.0010889999999999947,0.00014400000000000025,0.00014400000000000025,8.100000000000014e-05,0.00019600000000000035,1.232595164407831e-32,1.232595164407831e-32,2.4999999999998934e-05,2.4999999999998934e-05,4.0000000000000074e-06,4.0000000000000074e-06,0.00016900000000000319,1.0000000000002238e-06,1.0000000000002238e-06,4.0000000000000074e-06,0.0,0.0,1.600000000000003e-05,1.600000000000003e-05,1.600000000000003e-05,1.600000000000003e-05,2.4999999999998934e-05,1.600000000000003e-05,1.0000000000002238e-06,0.0,1.0000000000002238e-06,1.0000000000002238e-06,0.0,0.0,0.0,0.0,1.0000000000002238e-06,0.0,1.0000000000002238e-06,1.0000000000002238e-06,1.0000000000002238e-06,0.0,1.0000000000002238e-06,0.0,0.0,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,0.0,0.0,0.0,0.0
12,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,0.00022500000000000373,4.8999999999998535e-05,0.0004000000000000007,0.0019359999999999937,4.0000000000000074e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.600000000000003e-05,1.0000000000000019e-06,1.600000000000003e-05,0.0008410000000000015,0.00010000000000000018,0.00010000000000000018,3.600000000000006e-05,1.600000000000003e-05,0.00014400000000000025,0.00019600000000000035,4.000000000000451e-06,0.00014400000000000025,0.00010000000000000018,0.0002560000000000005,8.099999999999815e-05,8.099999999999815e-05,8.099999999999815e-05,4.0000000000000074e-06,4.0000000000000074e-06,9.999999999997797e-07,0.00010000000000000018,0.00010000000000000018,0.00012100000000000022,1.600000000000003e-05,9.999999999997797e-07,3.600000000000006e-05,9.000000000000015e-06,1.0000000000000019e-06,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,0.0,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,0.0
13,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,4.9000000000000087e-05,4.9000000000000087e-05,4.9000000000000087e-05,0.0004410000000000008,0.0002560000000000005,6.400000000000012e-05,6.400000000000012e-05,6.400000000000012e-05,9.999999999997797e-07,1.600000000000003e-05,9.000000000000683e-06,9.000000000000683e-06,0.0,9.000000000000683e-06,1.0000000000002238e-06,1.0000000000002238e-06,8.99999999999935e-06,4.0000000000000074e-06,0.0,0.0,3.600000000000006e-05,9.000000000000015e-06,4.0000000000000074e-06,9.000000000000683e-06,1.600000000000003e-05,1.600000000000003e-05,9.000000000000015e-06,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,9.999999999997797e-07,4.0000000000000074e-06,9.999999999997797e-07,9.999999999997797e-07,0.0,0.0,0.0,0.0,1.0000000000000019e-06,1.0000000000000019e-06,0.0,1.0000000000000019e-06,1.0000000000000019e-06,4.0000000000000074e-06,4.0000000000000074e-06
14,0.0,0.0,0.0,0.0,3.600000000000006e-05,3.600000000000006e-05,3.600000000000006e-05,8.99999999999935e-06,8.99999999999935e-06,1.600000000000003e-05,1.600000000000003e-05,1.600000000000003e-05,1.600000000000003e-05,0.00012099999999999778,1.0000000000002238e-06,1.0000000000002238e-06,4.0000000000000074e-06,1.0000000000000019e-06,4.0000000000000074e-06,9.000000000000015e-06,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,1.600000000000003e-05,1.0000000000002238e-06,2.4999999999998934e-05,1.0000000000002238e-06,1.0000000000002238e-06,9.000000000000683e-06,9.000000000000683e-06,1.232595164407831e-32,1.232595164407831e-32,1.0000000000002238e-06,0.0,0.0,0.0,0.0,9.999999999997797e-07,0.0,0.0,0.0,1.232595164407831e-32,0.0,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32
15,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,1.0000000000002238e-06,1.0000000000002238e-06,9.000000000000015e-06,0.00019600000000000035,3.60000000000014e-05,3.60000000000014e-05,6.40000000000019e-05,1.600000000000003e-05,0.00014400000000000025,4.000000000000451e-06,4.000000000000451e-06,4.000000000000451e-06,4.000000000000451e-06,0.00010000000000000018,8.100000000000014e-05,1.6000000000000917e-05,9.999999999997797e-07,1.0000000000002238e-06,0.0,0.0,1.0000000000002238e-06,4.0000000000000074e-06,9.000000000000683e-06,9.999999999997797e-07,4.0000000000000074e-06,1.600000000000003e-05,1.600000000000003e-05,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,2.5000000000001153e-05,4.0000000000000074e-06,4.0000000000000074e-06,1.600000000000003e-05,0.0,0.0,1.0000000000000019e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,9.999999999997797e-07,9.999999999997797e-07,0.0002890000000000043,1.6000000000000917e-05,1.6000000000000917e-05,1.6000000000000917e-05,4.9000000000000087e-05,1.0000000000002238e-06,1.0000000000002238e-06,1.0000000000002238e-06,1.0000000000002238e-06,0.0,4.930380657631324e-32,9.999999999997797e-07,4.0000000000000074e-06,2.5000000000000045e-05,4.000000000000451e-06,4.000000000000451e-06,4.930380657631324e-32,2.5000000000000045e-05,8.99999999999935e-06,1.0000000000002238e-06,4.0000000000000074e-06,3.999999999999563e-06,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.00032400000000000056,0.00032400000000000056,0.00016900000000000319,0.000576000000000001,9.999999999997797e-07,0.0006760000000000013,0.0002560000000000005,0.00014400000000000025,6.400000000000012e-05,6.400000000000012e-05,0.00016900000000000319,0.00016900000000000319,8.099999999999815e-05,0.0,0.0,0.00014400000000000025,4.000000000000895e-06,1.600000000000003e-05,1.600000000000003e-05,2.5000000000000045e-05,9.000000000000015e-06,9.999999999997797e-07,9.999999999997797e-07,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,4.0000000000000074e-06,0.0,0.0,0.0,0.0,0.0,9.999999999997797e-07,9.999999999997797e-07,0.0,0.0,0.0,0.0,0.0,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,0.0,0.0,0.0,0.0,0.0
18,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,0.000576000000000001,9.000000000000683e-06,9.000000000000683e-06,9.000000000000683e-06,3.600000000000273e-05,0.00012099999999999778,0.00012099999999999778,0.00012100000000000022,0.0005759999999999957,0.001024000000000002,0.0006249999999999956,1.0000000000000019e-06,1.0000000000000019e-06,0.00014400000000000025,0.00012099999999999778,4.900000000000164e-05,4.900000000000164e-05,1.600000000000003e-05,1.600000000000003e-05,0.00010000000000000018,1.600000000000003e-05,4.0000000000000074e-06,1.600000000000003e-05,1.600000000000003e-05,1.600000000000003e-05,1.600000000000003e-05,4.0000000000000074e-06,4.0000000000000074e-06,9.000000000000015e-06,9.000000000000015e-06,9.000000000000015e-06,9.000000000000015e-06,1.0000000000002238e-06,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.0000000000002238e-06,1.232595164407831e-32,1.232595164407831e-32,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,0.0
